variables = "Step", "den", "u", "v", "w", "temp"
#   Step          den            u            v            w         temp
       2   0.6075E+00   0.6669E+00   0.5093E+00   0.5900E+00   0.4421E+00
       3   0.6040E+00   0.4908E+00   0.3076E+00   0.4016E+00   0.2511E+00
       4   0.6004E+00   0.3750E+00   0.1957E+00   0.2988E+00   0.1632E+00
       5   0.5969E+00   0.2097E+00   0.7775E-01   0.1252E+00   0.7295E-01
       6   0.5934E+00   0.2011E+00   0.6972E-01   0.1231E+00   0.6618E-01
       7   0.5899E+00   0.1924E+00   0.6270E-01   0.1197E+00   0.5975E-01
       8   0.5864E+00   0.1836E+00   0.5659E-01   0.1155E+00   0.5381E-01
       9   0.5839E+00   0.1750E+00   0.5122E-01   0.1108E+00   0.4842E-01
      10   0.5792E+00   0.1666E+00   0.4671E-01   0.1059E+00   0.4359E-01
      11   0.5753E+00   0.1583E+00   0.4307E-01   0.1009E+00   0.3931E-01
#   Step          den            u            v            w         temp
      12   0.5711E+00   0.1502E+00   0.4030E-01   0.9597E-01   0.3555E-01
      13   0.5661E+00   0.1223E+00   0.3843E-01   0.9118E-01   0.3231E-01
      14   0.5601E+00   0.1348E+00   0.3776E-01   0.8655E-01   0.2972E-01
      15   0.5527E+00   0.1283E+00   0.3862E-01   0.8215E-01   0.2815E-01
      16   0.5430E+00   0.1240E+00   0.4126E-01   0.7805E-01   0.2836E-01
      17   0.5305E+00   0.1229E+00   0.4560E-01   0.7456E-01   0.3149E-01
      18   0.5151E+00   0.1359E+00   0.5117E-01   0.7248E-01   0.3835E-01
      19   0.4976E+00   0.1327E+00   0.5750E-01   0.7269E-01   0.4816E-01
      20   0.4788E+00   0.1424E+00   0.6386E-01   0.7574E-01   0.5962E-01
      21   0.4596E+00   0.1534E+00   0.6873E-01   0.8140E-01   0.7118E-01
#   Step          den            u            v            w         temp
      22   0.4409E+00   0.1643E+00   0.7404E-01   0.8878E-01   0.8161E-01
      23   0.4236E+00   0.1742E+00   0.7893E-01   0.9685E-01   0.9005E-01
      24   0.4082E+00   0.1825E+00   0.8285E-01   0.1047E+00   0.9662E-01
      25   0.3952E+00   0.1788E+00   0.8582E-01   0.1119E+00   0.1011E+00
      26   0.3851E+00   0.1933E+00   0.8806E-01   0.1180E+00   0.1034E+00
      27   0.3780E+00   0.1958E+00   0.8908E-01   0.1230E+00   0.1041E+00
      28   0.3739E+00   0.1966E+00   0.9766E-01   0.1269E+00   0.1033E+00
      29   0.3728E+00   0.1958E+00   0.9153E-01   0.1598E+00   0.1016E+00
      30   0.3744E+00   0.1937E+00   0.9231E-01   0.1317E+00   0.9921E-01
      31   0.3784E+00   0.1904E+00   0.9261E-01   0.1328E+00   0.9568E-01
#   Step          den            u            v            w         temp
      32   0.3842E+00   0.1862E+00   0.9224E-01   0.1331E+00   0.9166E-01
      33   0.3914E+00   0.1812E+00   0.9157E-01   0.1325E+00   0.8675E-01
      34   0.3993E+00   0.1756E+00   0.9092E-01   0.1311E+00   0.8174E-01
      35   0.4073E+00   0.1697E+00   0.9098E-01   0.1289E+00   0.7600E-01
      36   0.4147E+00   0.1639E+00   0.9001E-01   0.1257E+00   0.6958E-01
      37   0.4210E+00   0.1585E+00   0.8769E-01   0.1218E+00   0.6540E-01
      38   0.4257E+00   0.1535E+00   0.8537E-01   0.1175E+00   0.6143E-01
      39   0.4286E+00   0.1494E+00   0.8250E-01   0.1128E+00   0.5749E-01
      40   0.4296E+00   0.1460E+00   0.7801E-01   0.1080E+00   0.5374E-01
      41   0.4290E+00   0.1437E+00   0.7373E-01   0.1032E+00   0.5032E-01
#   Step          den            u            v            w         temp
      42   0.4268E+00   0.1423E+00   0.7051E-01   0.9852E-01   0.4743E-01
      43   0.4234E+00   0.1417E+00   0.6764E-01   0.9405E-01   0.4515E-01
      44   0.4192E+00   0.1418E+00   0.6548E-01   0.8989E-01   0.4335E-01
      45   0.4144E+00   0.1424E+00   0.6367E-01   0.8610E-01   0.4430E-01
      46   0.4093E+00   0.1432E+00   0.6200E-01   0.8273E-01   0.4155E-01
      47   0.4041E+00   0.1442E+00   0.6048E-01   0.7978E-01   0.4151E-01
      48   0.3990E+00   0.1451E+00   0.5906E-01   0.7726E-01   0.4149E-01
      49   0.3941E+00   0.1458E+00   0.5858E-01   0.7716E-01   0.4172E-01
      50   0.3895E+00   0.1463E+00   0.5605E-01   0.7343E-01   0.4344E-01
     
